gene	TCGA-BH-A18U-01	TCGA-BH-A1EO-01	TCGA-BH-A1EV-01	TCGA-BH-A0C0-01	TCGA-AC-A2FM-01
AC004835.1	0.155067	0	0.005811	0.045701	0.034063
AC004837.2	0.176189	0.217648	0.4853	0.060581	0.135459
AC004837.3	0.056988	0	0	0	0
AC004839.2	0.032134	0	0	0	0.098823
AC004840.1	0	0	0.027785	0	0.162863
AC004846.1	0.174188	0.469478	0.753264	0.217792	0.194795
AC004846.2	0.062159	0	0.130448	0.056994	0.1062
AC004847.1	0.50547	0.319145	0.079559	1.923397	0.146812
AC004852.2	0	0	0	0	0
AC004854.2	0.301651	0.294427	0.492372	0.291952	0.091622
AC004862.1	0.029509	0	0	0.005798	0
AC004865.2	0.062521	0.051489	0.114807	0.687914	0.128182
AC004869.1	0	0	0	0	0
AC004869.2	0	0	0	0	0
AC004870.2	0	0	0	0	0.010737
AC004870.3	0	0	0	0	0
AC004870.4	0	0	0	0	0
AC004875.1	0	0	0	0	0
AC004877.1	0.007867	0.025914	0.024764	0.081147	0.100803
AC004882.2	0	0	0.021854	0	0.02135
AC004882.3	0	0	0	0	0
AC004884.2	0.176915	0.097131	0.03094	0.405535	0
AC004888.1	0.088296	0.193907	0.154416	0	0.060342
AC004890.2	0.606878	0.223509	0.245228	0.316244	0.548698
AC004893.11	0.165061	0.973674	0.459182	0.813043	2.140646
AC004895.1	0.117799	0.064675	0.082405	0.081008	0.040252
AC004908.1	0.624924	0.098029	0.811866	0.572997	1.708304
AC004908.2	0.560949	0.369572	0.529747	1.15726	1.265072
AC004908.3	0.077276	0.127281	0.24326	0.389703	0.950598
AC004917.1	0.03093	0.012736	0	0.031905	0
AC004918.1	1.714464	1.99737	1.645428	2.156711	1.20025
AC004918.5	1.131297	1.834677	1.91759	1.579878	2.747599
AC004920.1	0.033401	0	0	0	0
AC004921.1	0.307489	0.397933	0.184372	0.694777	0.13509
AC004923.1	0.070766	0.233115	0.371276	0	1.269495
AC004923.4	0.784266	0.430584	0.160015	0.779023	0.491307
AC004930.1	0	0	0	0	0
AC004941.1	0	0	0	0	0.00529
AC004943.1	0.028461	0.062503	0.159275	0.117431	0.087526
AC004943.2	0.58851	0.73384	0.840815	1.152384	0.596469
AC004943.3	0	0	0.197086	0	0.027506
AC004944.1	0	0	0	0	0
AC004946.1	0	0	0	0	0
AC004946.2	0	0	0	0	0
AC004947.1	0.075257	0.13349	0.024298	0.055734	0.065278
AC004948.1	0.311443	0.118379	0.125692	0	0.221028
AC004951.1	0.094904	0.099474	0.144849	0.130528	0.12382
AC004951.4	0.023265	0.089411	0.162746	0.053329	0.21464
AC004969.1	0	0.045877	0	0	0.028553
AC004973.1	0.076059	0	0.026603	0.209218	0.02599
AC004975.2	0.028494	0	0.269093	0.744606	1.431271
AC004980.1	0.476247	0.434842	0.369366	0.576695	0.790679
AC004982.1	0.116732	0.352489	0.459328	0.615434	1.525695
AC004982.2	0.437378	0.659088	1.171773	1.305496	1.497711
AC004988.1	0.454524	0.434211	0.114465	0.587626	0.009319
AC004990.1	0	0	0.014702	0.096354	0.007182
AC005005.3	0.627984	0.225675	0.982433	0.329778	0.058523
AC005005.4	0.004821	0	0.004047	0.003978	0.001977
AC005006.1	0	0	0	0	0
AC005008.2	0	0	0	0	0.01752
AC005009.1	0.119697	0	0	0.164626	0.429457
AC005013.1	1.040426	0.13529	1.321566	0.338912	0.280671
AC005014.2	0.215015	0.088537	0.141011	0.369653	0.551033
AC005014.3	0.084733	0	0.177822	0.233076	0
AC005019.2	0	0	0	0.061678	0
AC005021.1	0.04535	0.14939	0.047586	0.187117	0
AC005027.3	0	0	0.131293	0	0
